time,page,tr_JOIN_RANDOM_GROUP,tr_SIGN_UP 
0,381.7318888888889,11.286,429.32975 
10,242.74756410256413,14.632857142857144,370.77160000000003 
20,12.853055555555555,13.050111111111114,0 
24,0,0,0 
