time,size_sent,size_rcv 
0,2.30390625,18.671875 
10,36.73515625,243.7921875 
20,179.8140625,1147.1796875 
30,497.6703125,2764.79296875 
40,803.496875,3748.46328125 
50,1283.340625,6697.60703125 
60,1672.1625,8829.43828125 
70,1886.671875,9464.76640625 
80,1960.8375,9665.95390625 
90,2034.675,9814.00546875 
100,2102.1265625,9961.73671875 
110,2164.5140625,10106.509375 
120,2228.54375,10265.4375 
130,2295.79453125,10353.96640625 
140,2347.39140625,12125.41640625 
150,2789.0015625,12877.08515625 
151,2805.5671875,12909.94921875 
