time,connect,request 
0,3.9219999999999997,101.81813117965123 
10,1.0382546363970644,161.85191149704 
20,0.9878660235072366,448.41548186446715 
30,1.9781214608808266,1643.607603484234 
40,1.3686692445730053,3637.548252945013 
50,1.6838100947612484,3520.3114253059584 
60,1.4602292819710738,2979.9215038151306 
70,0.5091491539017592,2519.690282357519 
80,0.3725305614721686,1530.834800832334 
90,0.9806202446779342,2194.165054183756 
100,0.17463157646886207,2463.7882638701676 
110,4.999999999999449e-4,2582.478676795269 
120,0,2534.526470251772 
130,0,35.75798682583706 
140,0,18150.716321199277 
150,0,17.153391790276842 
151,0,4.382145502673002 
