time,users,connected 
0,2,2 
10,28,22 
20,114,109 
30,501,483 
40,1134,1015 
50,1108,998 
60,1042,974 
70,985,968 
80,974,958 
90,966,957 
100,952,950 
110,942,943 
120,926,926 
130,831,831 
140,648,650 
150,19,24 
151,0,0 
