time,session 
10,14249.004 
20,9485.311 
30,9485.311 
40,9485.311 
50,9279.999 
60,9279.999 
70,9279.999 
80,9279.999 
90,9279.999 
100,9279.999 
110,9279.999 
120,9279.999 
130,9279.999 
140,9279.999 
150,9279.999 
151,9279.999 
