time,users_count,finish_users_count 
0,0.2,0 
10,2.7,0.1 
20,9.8,1.2 
30,41,2.3 
40,66.6,3.3 
50,0,2.6 
60,0,6.6 
70,0,5.7 
80,0,1.1 
90,0,0.8 
100,0,1.4 
110,0,1 
120,0,1.6 
130,0,9.5 
140,0,18.3 
150,0,62.9 
151,0,1.9 
