time,page,tr_CREATE_POST,tr_SIGN_IN 
0,0.3,,0.1 
10,3.8,,1.8 
20,15.3,1.3,4.7 
30,22.6,2.2,6.6 
40,26.9,3.4,15.4 
50,27.5,2.5,10.2 
60,66.3,6.2,8.1 
70,19.6,6.2,9.4 
80,3.6,1.1,9.6 
90,2.4,0.8,10.3 
100,1.9,1.4,10.6 
110,2.4,0.9,10.6 
120,2.9,1.7,9.9 
130,18.4,9.5,13 
140,82,18.1,0 
150,62.6,62.6,0 
151,2.4,2.4,0 
