time,error_connection_closed,error_send_einval 
40,0.1,0.4 
50,1.1,0.3 
60,0,0 
70,0,0 
80,0,0 
90,0,0 
100,0,0 
110,0,0 
120,0,0 
130,0,0 
140,0,0 
150,0,0 
151,0,0 
