time,connect,request 
0,5.447,56.8715 
10,1.8599,103.49406578947367 
20,1.75086,214.88473333333343 
30,1.8964065656565654,2729.2865940409674 
40,1.699060353798127,3749.5159502407705 
50,2.4930276816609007,11348.83939881542 
60,1.862863829787234,12082.182321236549 
70,1.6001078431372548,15334.89740344827 
80,1.5844999999999998,22358.724560606064 
90,1.9043913043478264,29472.68477952756 
100,1.5252499999999998,37773.008552 
110,1.3205,46445.66486923076 
120,0,55376.77013281252 
130,0,59997.34621337576 
140,0,32697.86767682925 
150,0,20.48874760383387 
151,0,8.685041666666667 
