time,session 
10,14249.004 
20,14786.746 
30,21149.465 
40,26847.18 
50,34441.019 
60,41865.375 
70,49725.557 
80,59687.994 
90,68987.143 
100,77707.74 
110,87660.108 
120,98012.275 
130,106150.664 
140,111562.942 
150,118590.372 
151,118590.372 
