time,users,connected 
0,2,2 
10,28,20 
20,114,87 
30,501,374 
40,1150,532 
50,1150,-17 
60,1150,-24 
70,1150,-6 
80,1150,-10 
90,1150,-1 
100,1150,-7 
110,1150,-7 
120,1150,-17 
130,1150,-95 
140,1150,-181 
150,1150,-626 
151,1150,-24 
