time,users_count,finish_users_count 
0,2,0 
10,29,1 
20,127,13 
30,537,36 
40,1203,69 
50,1203,95 
60,1203,161 
70,1203,218 
80,1203,229 
90,1203,237 
100,1203,251 
110,1203,261 
120,1203,277 
130,1203,372 
140,1203,555 
150,1203,1184 
151,1203,1203 
