time,size_sent,size_rcv 
0,7.40234375,107.37421875 
10,61.44921875,943.68515625 
20,167.14375,1742.615625 
30,291.54375,2199.43203125 
40,328.3640625,2441.68515625 
50,372.409375,2771.06171875 
60,413.2296875,2885.26640625 
70,456.453125,2994.09921875 
80,495.28671875,3131.7796875 
90,553.8,3860.0140625 
100,1005.61015625,9345.36796875 
110,1230.84609375,14178.07421875 
120,1346.5171875,18685.4578125 
130,1431.090625,22802.63359375 
140,1515.5546875,26813.4359375 
150,1666.1921875,30465.73828125 
160,1860.76171875,34420.115625 
170,1957.32578125,38995.15546875 
180,2040.6234375,43473.13125 
190,2283.74296875,48447.8734375 
197,2378.8109375,49507.15859375 
