time,cpu@tsung_controller@ip-172-31-42-10 
0,0.8397221954153047 
10,0.8470353761833582 
20,1.245019920318725 
30,4.19921875 
40,6.392251815980629 
50,6.392251815980629 
60,6.392251815980629 
70,6.392251815980629 
80,6.392251815980629 
90,6.392251815980629 
100,6.392251815980629 
110,7.515861395802831 
120,7.515861395802831 
130,7.515861395802831 
140,7.515861395802831 
150,7.515861395802831 
160,7.515861395802831 
170,7.515861395802831 
180,7.515861395802831 
190,7.515861395802831 
197,7.515861395802831 
