time,size_sent,size_rcv 
0,7.40234375,107.37421875 
10,54.046875,836.3109375 
20,105.69453125,798.93046875 
30,124.4,456.81640625 
40,36.8203125,242.253125 
50,44.0453125,329.3765625 
60,40.8203125,114.2046875 
70,43.2234375,108.8328125 
80,38.83359375,137.68046875 
90,58.51328125,728.234375 
100,451.81015625,5485.35390625 
110,225.2359375,4832.70625 
120,115.67109375,4507.38359375 
130,84.5734375,4117.17578125 
140,84.4640625,4010.80234375 
150,150.6375,3652.30234375 
160,194.56953125,3954.37734375 
170,96.5640625,4575.03984375 
180,83.29765625,4477.97578125 
190,243.11953125,4974.7421875 
197,95.06796875,1059.28515625 
