time,cpu@tsung_controller@ip-172-31-42-10 
0,0.8397221954153047 
10,0.8397221954153047 
20,0.8397221954153047 
30,0.8397221954153047 
40,0.8397221954153047 
50,0.8397221954153047 
60,0.8397221954153047 
70,0.8397221954153047 
80,0.8397221954153047 
90,0.8397221954153047 
100,0.8397221954153047 
110,0.8397221954153047 
120,0.8397221954153047 
130,0.8397221954153047 
140,0.8397221954153047 
150,0.8397221954153047 
160,0.8397221954153047 
170,0.8397221954153047 
180,0.8397221954153047 
190,0.8397221954153047 
197,0.8397221954153047 
