time,200,302,504 
0,7,11, 
10,62,64, 
20,121,111, 
30,144,184, 
40,157,250, 
50,175,316, 
60,180,390, 
70,189,469, 
80,199,542, 
90,321,586,67 
100,967,670,68 
110,1312,732,68 
120,1462,805,68 
130,1577,834,68 
140,1684,869,68 
150,1787,1028,68 
160,1914,1246,68 
170,2063,1263,68 
180,2202,1273,68 
190,2568,1341,68 
197,2705,1752,68 
