time,connect,request 
0,1.64034157723323,146.3975768985451 
10,0.390653293343343,444.243290669703 
20,1.4791396462980302,2483.8702491993013 
30,0.9160752750333858,2366.0768503150925 
40,0,2328.1386982888716 
50,0,2299.060558089709 
60,0,2507.7778328444037 
70,0,2777.3058143963417 
80,0,2625.813253357207 
90,0,4099.137043386449 
100,0,14426.926378869392 
110,0,1650.037355996111 
120,0,2072.9765307700973 
130,0,2061.1790824313653 
140,0,1954.7421905568 
150,0,1842.9617436831631 
160,0,4513.551279595615 
170,0,1152.6816262391492 
180,0,2168.921889998254 
190,0,4960.199527283213 
197,0,3602.5364254944825 
