time,users,connected 
0,10,9 
10,55,51 
20,265,252 
30,595,595 
40,595,595 
50,595,595 
60,595,595 
70,595,595 
80,595,595 
90,592,592 
100,584,584 
110,554,554 
120,521,521 
130,512,512 
140,507,507 
150,502,502 
160,494,494 
170,488,488 
180,479,479 
190,409,411 
197,0,0 
