time,cpu@tsung_controller@ip-172-31-42-10 
0,0.8397221954153047 
10,0.8470353761833582 
20,1.245019920318725 
30,4.19921875 
40,6.392251815980629 
50,0.8461921353907417 
60,1.5415216310293387 
70,1.443504230960677 
80,2.9324055666003974 
90,2.628968253968254 
100,1.8426294820717133 
110,7.515861395802831 
120,4.01985111662531 
130,3.782976605276257 
140,4.11910669975186 
150,0.9471585244267198 
160,3.5253227408142997 
170,1.5392254220456802 
180,2.78468423669816 
190,3.9244908097367115 
197,2.5373134328358207 
