time,load@tsung_controller@ip-172-31-42-10 
0,0.078125 
10,0.0703125 
20,0.05859375 
30,0.05078125 
40,0.28125 
50,0.23828125 
60,0.19921875 
70,0.171875 
80,0.140625 
90,0.19921875 
100,0.171875 
110,0.140625 
120,0.12109375 
130,0.1015625 
140,0.16015625 
150,0.12890625 
160,0.109375 
170,0.1015625 
180,0.1484375 
190,0.12890625 
197,0.109375 
