time,users_count,finish_users_count 
0,0.6,0 
10,4.2,0.4 
20,13.6,0.4 
30,69.8,0.1 
40,36,5.3 
50,0,11.2 
60,0,0.6 
70,0,0 
80,0,0.1 
90,0,0.1 
100,0,29.1 
110,0,21.8 
120,0,1.5 
130,0,2.2 
140,0,1.2 
150,0,1.5 
160,0,2.8 
170,0,16.5 
180,0,0.9 
190,0,0.5 
200,0,28 
204,0,0 
