time,connect,request 
0,3.13175,280.4812 
10,1.2663749999999996,230.61397101449268 
20,1.2547519379844962,2216.0223181818174 
30,1.3225583203732503,8425.588739130437 
40,1.3768391502276185,3066.395150588237 
50,1.4022547528517124,6936.845097744365 
60,1.421520408163266,24574.417439252342 
70,1.2062209302325582,37886.6072840909 
80,1.288,45479.493000000024 
90,1.3630291262135925,57834.22255118108 
100,1.4112181818181817,18617.839659090958 
110,0,15760.72125 
120,0,60002.41398701298 
130,0,60002.11089772726 
140,0,60002.23119753086 
150,0,60002.32919191917 
160,0,60001.188788321146 
170,0,23473.15013982301 
180,0,10366.71086329113 
190,0,4979.426496031743 
200,0,6448.594669161676 
204,0,0 
