time,users_count,finish_users_count 
0,6,0 
10,48,4 
20,184,8 
30,882,9 
40,1242,62 
50,1242,174 
60,1242,180 
70,1242,180 
80,1242,181 
90,1242,182 
100,1242,473 
110,1242,691 
120,1242,706 
130,1242,728 
140,1242,740 
150,1242,755 
160,1242,783 
170,1242,948 
180,1242,957 
190,1242,962 
200,1242,1242 
204,1242,1242 
