time,users,connected 
0,6,4 
10,44,40 
20,176,165 
30,873,807 
40,1180,1019 
50,1068,1019 
60,1062,1013 
70,1062,1011 
80,1061,1013 
90,1060,1005 
100,769,785 
110,551,552 
120,536,536 
130,514,514 
140,502,502 
150,487,487 
160,459,459 
170,294,294 
180,285,285 
190,280,280 
200,0,0 
204,0,0 
