time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,354.799,,22.9,,355.371 
10,834.874,341.894,123.298,269.676,835.069 
20,8082.642,5208.731,1957.998,5853.273,7936.45 
30,12509.368,12781.486,6581.199,9959.012,12509.511 
40,19401.149,24643.285,14683.803,9959.012,19401.402 
50,29825.073,24643.285,24106.114,26974.527,27228.126 
60,35726.069,35400.175,32770.711,26974.527,35726.23 
70,44335.935,50209.489,43717.686,26974.527,44336.153 
80,53293.123,62309.187,52241.236,26974.527,53293.287 
90,60011.858,62309.187,60002.277,26974.527,60012.095 
100,83362.358,81780.279,60017.675,77543.716,60017.123 
110,89119.826,83356.371,60017.675,85419.352,60017.123 
120,89119.826,96276.209,60017.675,85419.352,60017.123 
130,116838.374,110341.0,60017.675,111812.939,60017.123 
140,116838.374,110341.0,60017.675,111812.939,60017.123 
150,116838.374,127189.057,60017.675,111812.939,60017.123 
160,139344.188,131432.585,60017.675,133013.848,60017.123 
170,150146.628,136953.467,60017.675,139435.812,60017.123 
180,157889.334,136953.467,60017.675,139435.812,60017.123 
190,157889.334,136953.467,60017.675,139435.812,60017.123 
200,157889.334,136953.467,60017.675,139435.812,60017.123 
204,157889.334,136953.467,60017.675,139435.812,60017.123 
