time,users,connected 
0,6,4 
10,44,36 
20,176,125 
30,873,642 
40,1232,212 
50,1232,0 
60,1232,-6 
70,1232,-2 
80,1232,2 
90,1232,-8 
100,1232,-220 
110,1232,-233 
120,1232,-16 
130,1232,-22 
140,1232,-12 
150,1232,-15 
160,1232,-28 
170,1232,-165 
180,1232,-9 
190,1232,-5 
200,1232,-280 
204,1232,0 
