time,cpu@tsung_controller@ip-172-31-42-10 
0,0.8073176396649953 
10,1.7964071856287425 
20,1.5968063872255487 
30,0.9495252373813095 
40,2.744510978043912 
50,3.825136612021858 
60,2.935323383084577 
70,1.794616151545364 
80,0.4506760140210316 
90,3.039362232187344 
100,1.2481278082875686 
110,8.3210964268233 
120,2.6355047240179017 
130,0.5497251374312844 
140,1.2 
150,0.2506265664160401 
160,1.4492753623188406 
170,1.3993003498250876 
180,5.999008428358949 
190,2.092675635276532 
200,0.7511266900350526 
204,2.8656126482213438 
