time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,128.98843089114618,,0,,5.581695144622271 
10,217.85749436860007,48.464289267330635,28.49301829140196,44.95099846777599,133.23837050094912 
20,2744.434925626628,1523.9844978185995,676.4562036716285,1665.7001144450492,1974.7058714467091 
30,1921.5738799029068,2362.209362140717,744.6909689823054,0.0,1132.0919167251107 
40,6034.064582238501,4146.245764467606,2896.9203356065163,0,7274.825924220976 
50,10595.75518208774,2.5094646213318903,4327.960694893122,0.0,2470.7403239780915 
60,13272.026062661838,12386.458775861047,11647.070371727745,0,2876.8524787107804 
70,10805.369727577554,0.0,19827.78056012218,0,2565.1238111928806 
80,13702.954728362245,29206.801455346074,23809.196418133226,0,2410.128845178497 
90,10074.476026484046,0.0,28691.393790518297,0,1281.710477598 
100,27874.377967645516,12247.320898240741,17165.797490907775,34938.578236132904,1.911843465618504 
110,27297.058834090254,23375.285738486557,29105.950034678975,38927.4484689221,0 
120,0.9967342800287944,11146.205986190795,1.1063295170492418,0,0 
130,8516.410210135997,14160.049363328733,0.749470885159083,994.4870000000046,0 
140,0.770556166170925,0.3072813133857854,0.820030257993298,0,0 
150,0.9379989366207254,16263.109340825498,0.8836936635101534,0,0 
160,9409.343159683218,13489.888752893114,0.6555562805990272,6505.762000000002,0 
170,20869.198378209563,28585.22230241602,32.47950000000128,15801.516252994357,0 
180,67902.47215898884,10440.809482261364,0,16112.3702539601,0 
190,18999.823309134328,3596.925349232679,0,10165.363172019886,0 
200,6394.292435297207,0,0,864.3154475902273,0 
204,0,0,0,0,0 
