time,error_connection_closed,error_unknown,error_send_einval 
40,0.3,4.8,0.6 
50,0.1,11.6,0.2 
60,0,0.6,0 
70,0,0,0 
80,0,0.1,0 
90,0,0.1,0 
100,0,27.1,0 
110,0,22.7,0 
120,0,1.6,0 
130,0,2,0 
140,0,1.2,0 
150,0,1.5,0 
160,0,2.6,0 
170,0,16.1,0 
180,0,0.3,0 
190,0,0,0 
200,0,0,0 
204,0,0,0 
