time,cpu@tsung_controller@ip-172-31-42-10 
0,0.8073176396649953 
10,1.7964071856287425 
20,1.7964071856287425 
30,1.7964071856287425 
40,2.744510978043912 
50,3.825136612021858 
60,3.825136612021858 
70,3.825136612021858 
80,3.825136612021858 
90,3.825136612021858 
100,3.825136612021858 
110,8.3210964268233 
120,8.3210964268233 
130,8.3210964268233 
140,8.3210964268233 
150,8.3210964268233 
160,8.3210964268233 
170,8.3210964268233 
180,8.3210964268233 
190,8.3210964268233 
200,8.3210964268233 
204,8.3210964268233 
