time,cpu@tsung_controller@ip-172-31-42-10 
0,0.8073176396649953 
10,0.8073176396649953 
20,0.8073176396649953 
30,0.8073176396649953 
40,0.8073176396649953 
50,0.8073176396649953 
60,0.8073176396649953 
70,0.8073176396649953 
80,0.4506760140210316 
90,0.4506760140210316 
100,0.4506760140210316 
110,0.4506760140210316 
120,0.4506760140210316 
130,0.4506760140210316 
140,0.4506760140210316 
150,0.2506265664160401 
160,0.2506265664160401 
170,0.2506265664160401 
180,0.2506265664160401 
190,0.2506265664160401 
200,0.2506265664160401 
204,0.2506265664160401 
