time,connect,request 
0,0.4,1.4 
10,2.8,11 
20,11.7,31.4 
30,45.8,44.7 
40,95.6,88.2 
50,44.1,115.4 
60,41.7,46.6 
70,5.8,16.4 
80,3.9,13.6 
90,1,13.5 
100,1.6,12.6 
110,0.8,11.9 
120,1.1,32.8 
130,0.7,14.6 
140,0,84.5 
150,0,61.7 
150,0,0 
