time,session 
10,9406.106 
20,9406.106 
30,9406.106 
40,8747.099 
50,8747.099 
60,8747.099 
70,8747.099 
80,8747.099 
90,8747.099 
100,8747.099 
110,8747.099 
120,8747.099 
130,8747.099 
140,8747.099 
150,8747.099 
150,8747.099 
