time,size_sent,size_rcv 
0,5.75234375,42.14765625 
10,53.390625,359.75 
20,222.278125,1298.81796875 
30,490.66328125,2617.80390625 
40,876.60390625,4291.54140625 
50,1390.521875,7854.834375 
60,1752.23515625,9146.53046875 
70,1843.47421875,9360.471875 
80,1924.92421875,9525.60390625 
90,1986.98671875,9694.453125 
100,2056.4859375,9836.6140625 
110,2116.6328125,9979.509375 
120,2214.1953125,10090.68203125 
130,2249.58125,10126.61171875 
140,2311.7515625,11862.8296875 
150,2742.30703125,12618.96953125 
150,2742.30703125,12618.96953125 
