time,session 
10,11712.397 
20,12794.292 
30,20885.189 
40,28744.343 
50,33990.348 
60,42367.846 
70,51867.718 
80,56414.479 
90,68172.573 
100,72925.411 
110,85831.261 
120,99363.634 
130,107221.46 
140,112350.405 
150,117328.041 
150,117328.041 
