time,connect,request 
0,4.3425,87.96357142857143 
10,1.6524999999999999,104.9454545454546 
20,1.5272051282051282,395.607656050955 
30,1.6490152838427945,3116.2763266219235 
40,2.268215481171548,5013.891984126982 
50,1.5843628117913833,9954.691265164625 
60,1.5569880095923267,10661.883412017167 
70,1.5703793103448276,18364.777579268302 
80,1.5654615384615387,26536.704801470587 
90,1.5511,35390.04071851853 
100,1.5430624999999998,44223.54083333333 
110,1.632875,53095.529798319345 
120,1.6747272727272728,59887.7099085366 
130,2.1341428571428573,60001.86583561645 
140,0,30389.143382248432 
150,0,12.981210696920586 
150,0,0 
