time,connect,request 
0,4.8882220949952755,150.9408177109323 
10,0.796115905954834,186.99434847500976 
20,0.4503007074757806,735.9079742283164 
30,1.6052160738888734,1695.9093823329922 
40,2.3066216673588595,4101.819364572472 
50,0.9065240008180775,2484.020947732592 
60,0.5931501298953237,2288.3855560788606 
70,0.3202440248217086,2266.932391955255 
80,0.3987611486202175,2499.914675706604 
90,0.35625509119169096,2533.412953387425 
100,0.34012469565403514,4722.116177116044 
110,0.13785176594806461,2443.0238734458208 
120,0.4625862260475615,401.812563267122 
130,1.0268089860716798,0.8955302020872276 
140,0,18473.6701357291 
150,0,9.56845865784491 
150,0,0 
