time,page,tr_CREATE_POST,tr_SIGN_IN 
0,0.7,,0.3 
10,5.7,0.4,2.5 
20,15,0.9,5.5 
30,19.4,2.5,6.5 
40,29.6,3.8,15.6 
50,61,2.4,10.2 
60,37.7,3.7,8.9 
70,7.3,3.7,9.1 
80,3,2.2,10.6 
90,3.2,1.6,10.3 
100,1.6,0.7,11 
110,1.7,0.7,10.2 
120,13.4,6.7,19.4 
130,14.6,5.6,0 
140,84.5,23.4,0 
150,61.7,61.7,0 
150,0,0,0 
