time,users,connected 
0,4,4 
10,35,28 
20,152,136 
30,617,569 
40,1123,1008 
50,1095,989 
60,1061,1000 
70,1025,985 
80,1004,994 
90,988,972 
100,981,972 
110,974,963 
120,906,900 
130,849,851 
140,615,617 
150,0,0 
150,0,0 
