time,session 
10,10872.644250000001 
20,11034.352444444443 
30,17443.811920000007 
40,21990.793725000003 
50,30633.802428571427 
60,30125.822588235293 
70,38182.02175000001 
80,45729.19357142857 
90,59051.3923125 
100,70437.23885714286 
110,81937.56871428574 
120,95065.92476470582 
130,101012.67649122806 
140,106946.42395726495 
150,112691.65114146352 
150,0 
