time,users_count,finish_users_count 
0,4,0 
10,39,4 
20,165,13 
30,655,38 
40,1201,78 
50,1201,106 
60,1201,140 
70,1201,176 
80,1201,197 
90,1201,213 
100,1201,220 
110,1201,227 
120,1201,295 
130,1201,352 
140,1201,586 
150,1201,1201 
150,1201,1201 
