time,connect,request 
0,1.48,5.181 
10,1.223,4.618 
20,1.17,4.48 
30,1.009,4.48 
40,0.807,0.172 
50,0.807,0.172 
60,0.807,0.172 
70,0.807,0.172 
80,0.807,0.172 
90,0.807,0.172 
100,0.807,0.172 
110,0.807,0.172 
120,0.807,0.172 
130,0.807,0.172 
140,0.807,0.172 
150,0.807,0.172 
150,0.807,0.172 
