time,connect,request 
0,12.809,454.688 
10,12.809,771.434 
20,12.809,3182.391 
30,22.078,8012.473 
40,22.078,12698.134 
50,22.078,16540.33 
60,22.078,16540.33 
70,22.078,22833.73 
80,22.078,31082.477 
90,22.078,39926.914 
100,22.078,49068.646 
110,22.078,57610.243 
120,22.078,60009.287 
130,22.078,60009.287 
140,22.078,60009.287 
150,22.078,60009.287 
150,22.078,60009.287 
