time,200,500,422,302,504 
0,11,,,3, 
10,92,,,32, 
20,342,,,96, 
30,690,13,,182, 
40,1141,32,,264, 
50,2121,34,34,359, 
60,2445,47,72,447, 
70,2458,70,100,547, 
80,2462,106,119,624, 
90,2469,140,133,704, 
100,2471,177,140,783, 
110,2477,208,143,862, 
120,2477,221,145,881,294 
130,2477,221,145,881,440 
140,2770,221,336,1210,472 
150,2770,221,660,1503,472 
150,2770,221,660,1503,472 
