time,page,tr_CREATE_POST,tr_SIGN_IN 
0,185.50655919774846,,58.14046018240844 
10,235.71493290832206,3.8618661292177108,169.84888652292778 
20,829.1547445264405,843.651217302828,569.914527694823 
30,2336.6438017981595,999.9441956986593,1291.968961750447 
40,5911.05932765791,4800.297361090472,4967.398188134472 
50,3584.4861491390534,3038.1331236994847,4927.055545126415 
60,3502.112794375928,1461.8693292681835,2903.656366132229 
70,6939.275631087195,1605.5014081507288,2111.7230175211944 
80,6076.228819221938,2269.9825029086855,2487.0146758419055 
90,7755.185705759429,2580.3354016494964,2554.0461711439602 
100,6774.385135181118,1377.16669469483,2679.898813225137 
110,6433.872770546504,1691.6194463196446,2370.219033356791 
120,7021.469824231464,214.4597791392608,456.89453663578735 
130,9586.173725398674,0.4418502865248251,0 
140,30719.038848186334,22022.258221780037,0 
150,9.56845865784491,9.639800262178772,0 
150,0,0,0 
