time,users,connected 
0,4,4 
10,35,24 
20,152,108 
30,617,433 
40,1150,439 
50,1150,-19 
60,1150,11 
70,1150,-15 
80,1150,9 
90,1150,-22 
100,1150,0 
110,1150,-9 
120,1150,-63 
130,1150,-49 
140,1150,-234 
150,1150,-617 
150,1150,0 
