time,page,tr_CREATE_COMMENT,tr_CREATE_POST,tr_SIGN_IN 
0,468.667,,,1451.687 
10,1771.152,4032.712,4239.223,2742.324 
20,1771.152,5235.492,4239.223,2742.324 
26,1771.152,5235.492,4239.223,2742.324 
