time,page,tr_CREATE_COMMENT,tr_CREATE_POST,tr_SIGN_IN 
0,140.13112500000003,,,1332.4373333333333 
10,501.1883703703704,4032.712,4062.9392,1922.7683076923072 
20,33.18522500000002,4117.110249999999,4021.2857916666676,0 
26,12.49722222222222,4032.1900666666666,4018.234,0 
