time,page,tr_CREATE_COMMENT,tr_CREATE_POST,tr_SIGN_IN 
0,12.973,,,1270.382 
10,5.291,4032.712,4015.618,1270.382 
20,4.496,4028.091,4013.91,1270.382 
26,4.496,4025.741,4013.91,1270.382 
