time,size_sent,size_rcv 
0,23.821875,166.4046875 
10,92.48671875,587.58515625 
20,268.52734375,1438.93515625 
30,609.94921875,3126.20625 
40,1066.00703125,5138.8484375 
50,1498.9390625,7781.8359375 
60,1908.5734375,9484.69921875 
70,2002.5296875,9771.5796875 
80,2077.61015625,9925.515625 
90,2142.3609375,10064.3140625 
100,2209.3546875,10205.6140625 
