time,page,tr_CREATE_POST,tr_SIGN_IN 
0,579.78,,1562.366 
10,1168.878,4431.497,2175.17 
20,8125.626,8539.723,6882.09 
30,13638.941,11045.137,9310.993 
40,21350.678,17055.526,15524.725 
50,25317.839,19887.992,18294.623 
60,33556.797,19887.992,18299.902 
70,39183.343,25987.831,25111.415 
80,44913.806,32902.447,31821.23 
90,52158.66,42748.413,39860.668 
100,58103.108,51411.187,49119.264 
