time,200,500,422,302 
0,4.3,,,1.3 
10,10.9,,,3.6 
20,22.5,,,6.6 
30,45.2,1,,9.4 
40,54.7,3.7,,6.5 
50,71.1,0.7,2,12 
60,42.3,1.2,7.7,10 
70,2.8,2.3,5,7.6 
80,0.8,3.1,0.6,7.7 
90,0.5,2.9,0.4,8 
100,0.3,3.4,0.7,7.8 
