time,page,tr_CREATE_POST,tr_SIGN_IN 
0,2.8,,1.3 
10,7.7,1,2.6 
20,12.2,0.8,5.8 
30,22.6,2.9,6.6 
40,40.7,2.2,22.9 
50,53,6.2,11.1 
60,53.3,8,7.9 
70,8.4,5.4,9.3 
80,2,0.7,10.2 
90,2.2,1,9.6 
100,1.8,1.1,10.5 
