time,users_count,finish_users_count 
0,1.5,0 
10,4.8,1.1 
20,19.5,0.8 
30,76.6,2.8 
40,22.8,2.3 
50,0,6.2 
60,0,7.9 
70,0,5.4 
80,0,0.7 
90,0,1 
100,0,1.1 
