time,page,tr_CREATE_POST,tr_SIGN_IN 
0,12.037,,1267.282 
10,11.799,4013.161,1254.913 
20,11.799,4013.161,1254.913 
30,11.799,4013.161,1254.913 
40,1.734,4002.627,1001.973 
50,1.627,4002.524,1001.973 
60,1.627,4002.524,1001.973 
70,1.627,4002.524,1001.973 
80,1.627,4002.524,1001.973 
90,1.627,4002.524,1001.973 
100,1.627,4002.524,1001.973 
