time,page,tr_CREATE_POST,tr_SIGN_IN 
0,114.74133333333334,,1285.012 
10,207.11602631578947,,1389.4775555555557 
20,333.7509150326797,4207.802999999999,2104.651319148937 
30,4819.1294778761085,9056.444363636361,6351.998560606061 
40,4521.192159851305,8771.786058823529,4936.102311688313 
50,15771.061439999989,12234.647199999998,12800.42212745098 
60,22410.22484766215,16152.16329032258,14632.501925925932 
70,22969.186249999984,19179.545145161293,18859.68191489361 
80,33454.55286111112,25537.74890909091,23754.496447916667 
90,38626.96583333332,32144.983375,30663.562524271845 
100,42207.300421052634,41630.53592857143,38742.03753773585 
110,54464.786916666686,51370.19277777778,47533.744084905666 
120,62486.01955172414,59704.08082352942,56381.35835353535 
130,68695.5619293478,63999.16411578948,61000.51175384613 
140,66154.72411097547,28411.165381215473,0 
150,20.48874760383387,4021.6797428115015,0 
151,8.685041666666667,4009.8631250000003,0 
