time,users_count,finish_users_count 
0,1.2,0 
10,3.3,0.8 
20,14.5,1 
30,43.5,0.1 
40,0,0 
50,0,0 
60,0,0 
70,0,0 
80,0,0 
90,0,0 
100,0,1.8 
110,0,20.5 
119,0,38.3 
