time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,289.587,,,,289.799 
10,16.555,81.708,16.728,67.244,289.799 
20,16.555,81.708,16.728,67.244,289.799 
30,16.555,81.708,16.728,67.244,289.799 
40,16.555,81.708,16.728,67.244,289.799 
50,16.555,81.708,16.728,67.244,289.799 
60,16.555,81.708,16.728,67.244,289.799 
70,16.555,81.708,16.728,67.244,289.799 
80,16.555,81.708,16.728,67.244,289.799 
90,16.555,81.708,16.728,67.244,289.799 
100,16.555,81.708,16.728,67.244,289.799 
110,16.555,81.708,16.728,67.244,289.799 
119,16.555,81.708,16.728,67.244,289.799 
