time,users,connected 
0,12,11 
10,37,21 
20,172,123 
30,606,451 
40,606,0 
50,606,0 
60,606,0 
70,606,0 
80,606,0 
90,606,0 
100,606,-15 
110,606,-194 
119,606,-397 
