time,freemem@tsung_controller@ip-172-31-42-10 
0,660.125 
10,659.82421875 
20,653.08984375 
30,644.9140625 
40,628.11328125 
50,622.63671875 
60,615.171875 
70,610.546875 
80,606.44140625 
90,598.6015625 
100,579.171875 
110,481.82421875 
119,511.33203125 
