time,connect,request 
0,1.3,289.587 
10,1.087,13.704 
20,1.087,13.704 
30,0.966,13.704 
40,0.966,13.704 
50,0.966,13.704 
60,0.966,13.704 
70,0.966,13.704 
80,0.966,13.704 
90,0.966,13.704 
100,0.966,13.704 
110,0.966,13.704 
119,0.966,13.704 
