time,200,302,504 
10,4.8,4.7, 
20,7.5,5.1, 
30,1.6,7, 
40,1,7.1, 
50,1.8,6.9, 
60,0.5,8.8, 
70,0.8,7.6, 
80,1.1,7.4, 
90,7.7,5.7,6.1 
100,106.6,19.8,0 
110,104.6,60,0 
119,44,40.8,0 
