time,page,tr_JOIN_RANDOM_GROUP,tr_LOAD_GROUPS_PAGE,tr_MAKE_POST,tr_SIGN_UP 
0,430.2866,,,,432.8112 
10,487.4995714285713,106.21524999999998,44.827000000000005,90.52775,917.3869677419356 
20,2361.026936708861,620.2786363636362,641.793590909091,575.7007,5140.176633333334 
30,8749.9888,7421.481333333333,5388.0984285714285,4664.28,9467.466742424242 
40,14512.181164556967,20138.8125,13035.149857142855,0,14770.068304347828 
50,21957.53148750001,26515.498,20411.370142857148,0,22262.060382352935 
60,30690.452032608693,0,27132.59,0,30793.74414772727 
70,40412.02103614457,0,41913.5494,0,40283.56497368421 
80,49290.295105882346,0,48561.33954545455,0,49398.94805405404 
90,57748.28974736841,0,55966.628194029836,0,58893.231110169494 
100,16658.797008284007,25194.47151562499,24116.92559916493,42089.11290000001,0 
110,8709.6725401662,7774.565845986983,2158.375,9360.872862318845,0 
119,13677.289536523935,9753.415272727274,0,7411.211445843832,0 
